"TIME","GEO","CITIZEN","AGE","SEX","Value","Flag and Footnotes"
"2000","Poland","Total","From 10 to 14 years","Females",":",""
"2000","Poland","Total","From 15 to 19 years","Females",":",""
"2000","Portugal","Total","From 10 to 14 years","Females",":",""
"2000","Portugal","Total","From 15 to 19 years","Females",":",""
"2000","Romania","Total","From 10 to 14 years","Females",":",""
"2000","Romania","Total","From 15 to 19 years","Females",":",""
"2000","Slovenia","Total","From 10 to 14 years","Females","60,886",""
"2000","Slovenia","Total","From 15 to 19 years","Females","68,823",""
"2000","Slovakia","Total","From 10 to 14 years","Females",":",""
"2000","Slovakia","Total","From 15 to 19 years","Females",":",""
"2000","Finland","Total","From 10 to 14 years","Females","154,552",""
"2000","Finland","Total","From 15 to 19 years","Females","162,210",""
"2000","Sweden","Total","From 10 to 14 years","Females","273,802",""
"2000","Sweden","Total","From 15 to 19 years","Females","245,595",""
"2000","United Kingdom","Total","From 10 to 14 years","Females",":",""
"2000","United Kingdom","Total","From 15 to 19 years","Females",":",""
"2000","Iceland","Total","From 10 to 14 years","Females","10,223",""
"2000","Iceland","Total","From 15 to 19 years","Females","10,615",""
"2000","Liechtenstein","Total","From 10 to 14 years","Females",":",""
"2000","Liechtenstein","Total","From 15 to 19 years","Females",":",""
"2000","Norway","Total","From 10 to 14 years","Females","138,152",""
"2000","Norway","Total","From 15 to 19 years","Females","129,474",""
"2000","Switzerland","Total","From 10 to 14 years","Females","204,572",""
"2000","Switzerland","Total","From 15 to 19 years","Females","201,106",""
"2000","Montenegro","Total","From 10 to 14 years","Females",":",""
"2000","Montenegro","Total","From 15 to 19 years","Females",":",""
"2000","Former Yugoslav Republic of Macedonia, the","Total","From 10 to 14 years","Females",":",""
"2000","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 19 years","Females",":",""
"2000","Albania","Total","From 10 to 14 years","Females",":",""
"2000","Albania","Total","From 15 to 19 years","Females",":",""
"2000","Turkey","Total","From 10 to 14 years","Females","3,307,999",""
"2000","Turkey","Total","From 15 to 19 years","Females","3,518,257",""
"2000","Andorra","Total","From 10 to 14 years","Females",":",""
"2000","Andorra","Total","From 15 to 19 years","Females",":",""
"2000","Moldova","Total","From 10 to 14 years","Females",":",""
"2000","Moldova","Total","From 15 to 19 years","Females",":",""
"2000","Ukraine","Total","From 10 to 14 years","Females",":",""
"2000","Ukraine","Total","From 15 to 19 years","Females",":",""
"2000","Tajikistan","Total","From 10 to 14 years","Females",":",""
"2000","Tajikistan","Total","From 15 to 19 years","Females",":",""
"2000","Uzbekistan","Total","From 10 to 14 years","Females",":",""
"2000","Uzbekistan","Total","From 15 to 19 years","Females",":",""
"2000","Armenia","Total","From 10 to 14 years","Females",":",""
